Código,Unidade,Sub unidade,Tipo,Nome,Descritivo
1240.10.246,Clã,Secção,Abrigo,,
1240.10.247,Clã,Secção,Abrigo,,
1240.10.248,Clã,Secção,Abrigo,,
1240.10.249,Clã,Secção,Abrigo,,
1240.10.250,Clã,Secção,Abrigo,,
1240.10.251,Clã,Secção,Abrigo,,
1240.10.252,Clã,Secção,Abrigo,,
1240.10.253,Clã,Secção,Abrigo,,
1240.10.254,Clã,Secção,Abrigo,,
1240.10.255,Clã,Secção,Abrigo,,
1240.10.256,Clã,Secção,Abrigo,,
1240.10.257,Clã,Secção,Abrigo,,
1240.10.258,Clã,Secção,Abrigo,,
1240.10.259,Clã,Secção,Abrigo,,
1240.10.260,Clã,Secção,Abrigo,,
1240.10.261,Clã,Secção,Abrigo,,
1240.10.262,Clã,Secção,Abrigo,,
1240.10.263,Clã,Secção,Abrigo,,
1240.10.264,Clã,Secção,Abrigo,,
1240.10.265,Clã,Secção,Abrigo,,
1240.10.266,Clã,Secção,Abrigo,,
1240.10.267,Clã,Secção,Abrigo,,
1240.10.268,Clã,Secção,Abrigo,,
1240.10.269,Clã,Secção,Abrigo,,
1240.10.270,Clã,Secção,Abrigo,,
1240.10.271,Clã,Secção,Abrigo,,
1240.10.272,Clã,Secção,Abrigo,,
1240.10.273,Clã,Secção,Abrigo,,
1240.10.274,Clã,Secção,Abrigo,,
1240.10.275,Clã,Secção,Abrigo,,
1240.10.276,Clã,Secção,Abrigo,,
1240.10.277,Clã,Secção,Abrigo,,
1240.10.278,Clã,Secção,Abrigo,,
1240.10.279,Clã,Secção,Abrigo,,
1240.10.280,Clã,Secção,Abrigo,,
1240.10.281,Clã,Secção,Abrigo,,
1240.10.282,Clã,Secção,Abrigo,,
1240.10.283,Clã,Secção,Abrigo,,
1240.10.284,Clã,Secção,Abrigo,,
1240.10.285,Clã,Secção,Abrigo,,
1240.10.286,Clã,Secção,Abrigo,,
1240.10.287,Clã,Secção,Abrigo,,
1240.10.288,Clã,Secção,Abrigo,,
1240.10.289,Clã,Secção,Abrigo,,
1240.10.290,Clã,Secção,Abrigo,,
1240.10.291,Clã,Secção,Abrigo,,
1240.10.292,Clã,Secção,Abrigo,,
1240.10.293,Clã,Secção,Abrigo,,
1240.10.294,Clã,Secção,Abrigo,,
1240.10.295,Clã,Secção,Abrigo,,
1240.10.296,Clã,Secção,Abrigo,,
1240.10.297,Clã,Secção,Abrigo,,
1240.10.298,Clã,Secção,Abrigo,,
1240.10.299,Clã,Secção,Abrigo,,
1240.10.300,Clã,Secção,Cozinha,Cantina 6p Velha,"Panelas Grande, Média e Pequena c/tampa; Prato; Frigideira; Concha; Escumadeira; Grampos"
1240.10.301,Clã,Secção,Cozinha,Cantina 6p Nova,"Panelas Grande, Média e Pequena c/tampa; Prato; Frigideira; Concha; Grampos"
1240.10.302,Clã,Secção,Cozinha,Chaleira 2L,
1240.10.303,Clã,Secção,Cozinha,Tábua Madeira,
1240.10.304,Clã,Secção,Cozinha,Cafeteira,
1240.10.305,Clã,Secção,Cozinha,Faca pequena de serrilha,
1240.10.306,Clã,Secção,Cozinha,Escumadeira,
1240.10.307,Clã,Secção,Cozinha,Escumadeira,
1240.10.308,Clã,Secção,Cozinha,Colher,
1240.10.309,Clã,Secção,Cozinha,Escumadeira,
1240.10.310,Clã,Secção,Cozinha,Escumadeira,
1240.10.311,Clã,Secção,Cozinha,Alguidar,
1240.10.312,Clã,Secção,Cozinha,Jerrican 5L,sem tampa
1240.10.313,Clã,Secção,Cozinha,Jerrican 10L,com tampa
1240.10.314,Clã,Secção,Cozinha,Caixa de arrumos,Caixa c/ tampa
1240.10.315,Clã,Secção,Cozinha,Ralador,
1240.10.316,Clã,Secção,Cozinha,,
1240.10.317,Clã,Secção,Cozinha,,
1240.10.318,Clã,Secção,Cozinha,,
1240.10.319,Clã,Secção,Cozinha,,
1240.10.320,Clã,Secção,Cozinha,,
1240.10.321,Clã,Secção,Cozinha,,
1240.10.322,Clã,Secção,Cozinha,,
1240.10.323,Clã,Secção,Cozinha,,
1240.10.324,Clã,Secção,Cozinha,,
1240.10.325,Clã,Secção,Cozinha,,
1240.10.326,Clã,Secção,Cozinha,,
1240.10.327,Clã,Secção,Cozinha,,
1240.10.328,Clã,Secção,Cozinha,,
1240.10.329,Clã,Secção,Cozinha,,
1240.10.330,Clã,Secção,Cozinha,,
1240.10.331,Clã,Secção,Cozinha,,
1240.10.332,Clã,Secção,Cozinha,,
1240.10.333,Clã,Secção,Cozinha,,
1240.10.334,Clã,Secção,Cozinha,,
1240.10.335,Clã,Secção,Cozinha,,
1240.10.336,Clã,Secção,Cozinha,,
1240.10.337,Clã,Secção,Cozinha,,
1240.10.338,Clã,Secção,Cozinha,,
1240.10.339,Clã,Secção,Cozinha,,
1240.10.340,Clã,Secção,Cozinha,,
1240.10.341,Clã,Secção,Cozinha,,
1240.10.342,Clã,Secção,Cozinha,,
1240.10.343,Clã,Secção,Cozinha,,
1240.10.344,Clã,Secção,Cozinha,,
1240.10.345,Clã,Secção,Cozinha,,
1240.10.346,Clã,Secção,Cozinha,,
1240.10.347,Clã,Secção,Cozinha,,
1240.10.348,Clã,Secção,Cozinha,,
1240.10.349,Clã,Secção,Cozinha,,
1240.10.350,Clã,Secção,Cozinha,,
1240.10.351,Clã,Secção,Cozinha,,
1240.10.352,Clã,Secção,Cozinha,,
1240.10.353,Clã,Secção,Cozinha,,
1240.10.354,Clã,Secção,Cozinha,,
1240.10.355,Clã,Secção,Cozinha,,
1240.10.356,Clã,Secção,Cozinha,,
1240.10.357,Clã,Secção,Cozinha,,
1240.10.358,Clã,Secção,Cozinha,,
1240.10.359,Clã,Secção,Cozinha,,
1240.10.360,Clã,Secção,Cozinha,,
