Código,Unidade,Sub unidade,Tipo,Nome,Descritivo,
1240.20.234,Expedição,Secção,Abrigo,,,
1240.20.235,Expedição,Secção,Abrigo,,,
1240.20.236,Expedição,Secção,Abrigo,,,
1240.20.237,Expedição,Secção,Abrigo,,,
1240.20.238,Expedição,Secção,Abrigo,,,
1240.20.239,Expedição,Secção,Abrigo,,,
1240.20.240,Expedição,Secção,Abrigo,,,
1240.20.241,Expedição,Secção,Abrigo,,,
1240.20.242,Expedição,Secção,Abrigo,,,
1240.20.243,Expedição,Secção,Abrigo,,,
1240.20.244,Expedição,Secção,Abrigo,,,
1240.20.245,Expedição,Secção,Abrigo,,,
1240.20.246,Expedição,Secção,Abrigo,,,
1240.20.247,Expedição,Secção,Abrigo,,,
1240.20.248,Expedição,Secção,Abrigo,,,
1240.20.249,Expedição,Secção,Abrigo,,,
1240.20.250,Expedição,Secção,Abrigo,,,
1240.20.251,Expedição,Secção,Abrigo,,,
1240.20.252,Expedição,Secção,Abrigo,,,
1240.20.253,Expedição,Secção,Abrigo,,,
1240.20.254,Expedição,Secção,Abrigo,,,
1240.20.255,Expedição,Secção,Abrigo,,,
1240.20.256,Expedição,Secção,Abrigo,,,
1240.20.257,Expedição,Secção,Abrigo,,,
1240.20.258,Expedição,Secção,Abrigo,,,
1240.20.259,Expedição,Secção,Abrigo,,,
1240.20.260,Expedição,Secção,Abrigo,,,
1240.20.261,Expedição,Secção,Abrigo,,,
1240.20.262,Expedição,Secção,Abrigo,,,
1240.20.263,Expedição,Secção,Abrigo,,,
1240.20.264,Expedição,Secção,Abrigo,,,
1240.20.265,Expedição,Secção,Abrigo,,,
1240.20.266,Expedição,Secção,Abrigo,,,
1240.20.267,Expedição,Secção,Abrigo,,,
1240.20.268,Expedição,Secção,Abrigo,,,
1240.20.269,Expedição,Secção,Abrigo,,,
1240.20.270,Expedição,Secção,Abrigo,,,
1240.20.271,Expedição,Secção,Abrigo,,,
1240.20.272,Expedição,Secção,Abrigo,,,
1240.20.273,Expedição,Secção,Abrigo,,,
1240.20.274,Expedição,Secção,Abrigo,,,
1240.20.275,Expedição,Secção,Abrigo,,,
1240.20.276,Expedição,Secção,Abrigo,,,
1240.20.277,Expedição,Secção,Abrigo,,,
1240.20.278,Expedição,Secção,Abrigo,,,
1240.20.279,Expedição,Secção,Abrigo,,,
1240.20.280,Expedição,Secção,Abrigo,,,
1240.20.281,Expedição,Secção,Abrigo,,,
1240.20.282,Expedição,Secção,Abrigo,,,
1240.20.283,Expedição,Secção,Abrigo,,,
